dropoff_taxizone_id,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
200.0,38.43409387882512,92907,3570796.360000005,12.899112983951678,14.110657081527828
201.0,50.40655816004112,13609,685982.8499999996,17.146768315085605,10.486070425597045
202.0,21.07655990590577,132633,2795447.37,5.754663394479492,14.558511128908732
203.0,26.018447465138923,37004,962786.6300000007,8.110424818938496,4.808677341778725
204.0,79.09670641680863,1761,139289.3,27.6344179443498,14.758247936512147
205.0,28.208546365410538,49703,1402049.38,8.494022292416957,4.05004319350943
206.0,58.37779826995266,6127,357680.76999999996,19.961302431858993,10.943460172061018
207.0,7.100414059833922,17582,124839.48000000001,1.0578136730747356,1.903870439456309
208.0,37.16600112403483,40924,1520981.4300000013,12.332707946437305,8.148155538661095
209.0,15.83833114720767,816513,12932203.279999977,4.046606728857957,15.689562425906992
210.0,44.09938328473785,40813,1799828.1300000057,14.692663612084381,6.559903958360114
211.0,11.865895878020003,2500279,29668050.279999975,2.3930067684446206,16.04106315437093
212.0,29.45665149791428,39555,1165157.8499999994,9.348073315636455,3.4995095115406656
213.0,31.274907756853633,52199,1632518.9100000027,9.786058736757415,4.487587644574742
214.0,51.690586979722525,5622,290604.48000000004,17.80849697616507,14.054134084418054
215.0,24.743145218814284,47666,1179406.7600000016,7.316372256954639,3.2645405097399935
216.0,27.753327352527076,144908,4021679.1599999936,8.040488516852065,6.665575669563833
217.0,21.241929488849262,99814,2120241.95,5.518409341374951,5.865147627995916
218.0,21.961472605292602,53660,1178452.620000001,6.481360603801717,4.846024575693095
219.0,21.653629859227713,77430,1676640.560000002,6.442383443109904,5.785800779819034
220.0,34.74133977150253,115975,4029126.8800000064,11.42198154774736,12.587720182666953
221.0,49.24960623720272,6349,312685.75000000006,16.82225547330288,11.147930152487948
222.0,32.77404971295945,16374,536642.289999998,9.798176987907668,2.8539986093383494
223.0,19.886067807843972,591436,11761336.400000008,5.542536386016405,13.042075352765684
224.0,11.207294366076724,1239314,13889356.81000001,2.4643074152313527,17.042771851992594
225.0,24.49695085404569,303321,7430439.629999992,6.619519584862228,11.659843653649315
226.0,17.5187028305717,738932,12945130.120000008,4.617999612954915,10.501743976420341
227.0,32.53112906002527,69704,2267549.8200000017,10.272778319752087,11.188549191568892
228.0,29.023129738296127,186776,5420824.079999997,8.975575876986332,13.232537542700706
229.0,10.585032165793038,5404810,57210087.69999987,2.0958447697514044,15.944298851858713
230.0,13.125654397194246,9298634,122050656.24999993,2.6836377052801885,13.724887506242249
231.0,13.062554842415533,4992942,65220578.6999999,2.9446537512351996,16.619714393371204
232.0,13.481004135825216,1372882,18507827.919999994,2.976080085542691,13.317580493766165
233.0,11.25893068247863,4420109,49765700.83999993,2.3375157286845085,16.238485217856052
234.0,9.897600320131366,8134160,80508664.61999975,1.8290390464411292,17.22812869153961
235.0,28.555158574328637,60098,1716107.9200000025,8.720166894073015,3.7305053795667886
236.0,9.394702561144113,11560107,108603766.83999999,1.8684968149515566,16.553842954629378
